phrase,label
"detente","EMERGENCIA"
"para ahora","EMERGENCIA"
"alto inmediatamente","EMERGENCIA"
"emergencia, detente","EMERGENCIA"
"hay dolor, para","EMERGENCIA"
"inicia la flexión","FLEXION"
"realiza la siguiente repetición","FLEXION"
"dobla el brazo","FLEXION"
"haz otra repetición","FLEXION"
"continua con el ejercicio","FLEXION"
"descansa un momento","REPOSO"
"pausa el movimiento","REPOSO"
"necesito relajarme","REPOSO"
"haz una pausa","REPOSO"
"tómate un descanso","REPOSO"
"muéstrame mi progreso","PROGRESO"
"quiero ver mis sesiones","PROGRESO"
"cómo voy avanzando","PROGRESO"
"muestra mis estadísticas","PROGRESO"
"ver historial de recuperación","PROGRESO"
"ajustes","AJUSTES"
"configuración","AJUSTES"
"abre opciones","AJUSTES"
"prefiero cambiar mis parámetros","AJUSTES"
"personaliza el sistema","AJUSTES"
"quiero más repeticiones","OBJETIVO"
"pon el objetivo en 15","OBJETIVO"
"quiero hacer 20 repeticiones","OBJETIVO"
"cambia la meta a 12","OBJETIVO"
"establece mi objetivo en 18","OBJETIVO"
"velocidad 5","VELOCIDAD"
"ajusta velocidad a 7","VELOCIDAD"
"hazlo más lento","VELOCIDAD"
"quiero ir más rápido","VELOCIDAD"
"pon ritmo en 3","VELOCIDAD"
"terminar sesión","TERMINAR"
"hasta mañana","TERMINAR"
"es suficiente por hoy","TERMINAR"
"finalizar ejercicio","TERMINAR"
"nos vemos luego","TERMINAR"
